100,-100,-100,-1000
120,-90,-90,-1000
140,-80,-100,-1000
160,-70,-90,-1000
180,-60,-100,-1000
200,-50,-90,-1000
220,-40,-100,-1000
240,-30,-90,-1000
260,-20,-100,-1000
280,-10,-90,-1000
300,0,-100,-1000
320,10,-90,-1000
340,20,-100,-1000
360,30,-90,-1000
380,40,-100,-1000
400,50,-90,-1000
420,60,-100,-1000
440,70,-90,-1000
460,80,-100,-1000
480,90,-90,-1000
500,100,-100,-1000
520,100,-90,-1000
540,100,-80,-1000
560,90,-70,-1000
580,80,-80,-1000
600,70,-70,-1000
620,60,-80,-1000
640,50,-70,-1000
660,40,-80,-1000
680,30,-70,-1000
700,20,-80,-1000
720,10,-70,-1000
740,0,-80,-1000
760,-10,-70,-1000
780,-20,-80,-1000
800,-30,-70,-1000
820,-40,-80,-1000
840,-50,-70,-1000
860,-60,-80,-1000
880,-70,-70,-1000
900,-80,-80,-1000
920,-90,-70,-1000
940,-100,-80,-1000
960,-100,-70,-1000
980,-100,-60,-1000
1000,-90,-50,-1000
1020,-80,-60,-1000
1040,-70,-50,-1000
1060,-60,-60,-1000
1080,-50,-50,-1000
1100,-40,-60,-1000
1120,-30,-50,-1000
1140,-20,-60,-1000
1160,-10,-50,-1000
1180,0,-60,-1000
1200,10,-50,-1000
1220,20,-60,-1000
1240,30,-50,-1000
1260,40,-60,-1000
1280,50,-50,-1000
1300,60,-60,-1000
1320,70,-50,-1000
1340,80,-60,-1000
1360,90,-50,-1000
1380,100,-60,-1000
1400,100,-50,-1000
1420,100,-40,-1000
1440,90,-30,-1000
1460,80,-40,-1000
1480,70,-30,-1000
1500,60,-40,-1000
1520,50,-30,-1000
1540,40,-40,-1000
1560,30,-30,-1000
1580,20,-40,-1000
1600,10,-30,-1000
1620,0,-40,-1000
1640,-10,-30,-1000
1660,-20,-40,-1000
1680,-30,-30,-1000
1700,-40,-40,-1000
1720,-50,-30,-1000
1740,-60,-40,-1000
1760,-70,-30,-1000
1780,-80,-40,-1000
1800,-90,-30,-1000
1820,-100,-40,-1000
1840,-100,-30,-1000
1860,-100,-20,-1000
1880,-90,-10,-1000
1900,-80,-20,-1000
1920,-70,-10,-1000
1940,-60,-20,-1000
1960,-50,-10,-1000
1980,-40,-20,-1000
2000,-30,-10,-1000
2020,-20,-20,-1000
2040,-10,-10,-1000
2060,0,-20,-1000
2080,10,-10,-1000
2100,20,-20,-1000
2120,30,-10,-1000
2140,40,-20,-1000
2160,50,-10,-1000
2180,60,-20,-1000
2200,70,-10,-1000
2220,80,-20,-1000
2240,90,-10,-1000
2260,100,-20,-1000
2280,100,-10,-1000
2300,100,0,-1000
2320,90,10,-1000
2340,80,0,-1000
2360,70,10,-1000
2380,60,0,-1000
2400,50,10,-1000
2420,40,0,-1000
2440,30,10,-1000
2460,20,0,-1000
2480,10,10,-1000
2500,0,0,-1000
2520,-10,10,-1000
2540,-20,0,-1000
2560,-30,10,-1000
2580,-40,0,-1000
2600,-50,10,-1000
2620,-60,0,-1000
2640,-70,10,-1000
2660,-80,0,-1000
2680,-90,10,-1000
2700,-100,0,-1000
2720,-100,10,-1000
2740,-100,20,-1000
2760,-90,30,-1000
2780,-80,20,-1000
2800,-70,30,-1000
2820,-60,20,-1000
2840,-50,30,-1000
2860,-40,20,-1000
2880,-30,30,-1000
2900,-20,20,-1000
2920,-10,30,-1000
2940,0,20,-1000
2960,10,30,-1000
2980,20,20,-1000
3000,30,30,-1000
3020,40,20,-1000
3040,50,30,-1000
3060,60,20,-1000
3080,70,30,-1000
3100,80,20,-1000
3120,90,30,-1000
3140,100,20,-1000
3160,100,30,-1000
3180,100,40,-1000
3200,90,50,-1000
3220,80,40,-1000
3240,70,50,-1000
3260,60,40,-1000
3280,50,50,-1000
3300,40,40,-1000
3320,30,50,-1000
3340,20,40,-1000
3360,10,50,-1000
3380,0,40,-1000
3400,-10,50,-1000
3420,-20,40,-1000
3440,-30,50,-1000
3460,-40,40,-1000
3480,-50,50,-1000
3500,-60,40,-1000
3520,-70,50,-1000
3540,-80,40,-1000
3560,-90,50,-1000
3580,-100,40,-1000
3600,-100,50,-1000
3620,-100,60,-1000
3640,-90,70,-1000
3660,-80,60,-1000
3680,-70,70,-1000
3700,-60,60,-1000
3720,-50,70,-1000
3740,-40,60,-1000
3760,-30,70,-1000
3780,-20,60,-1000
3800,-10,70,-1000
3820,0,60,-1000
3840,10,70,-1000
3860,20,60,-1000
3880,30,70,-1000
3900,40,60,-1000
3920,50,70,-1000
3940,60,60,-1000
3960,70,70,-1000
3980,80,60,-1000
4000,90,70,-1000
4020,100,60,-1000
4040,100,70,-1000
4060,100,80,-1000
4080,90,90,-1000
4100,80,80,-1000
4120,70,90,-1000
4140,60,80,-1000
4160,50,90,-1000
4180,40,80,-1000
4200,30,90,-1000
4220,20,80,-1000
4240,10,90,-1000
4260,0,80,-1000
4280,-10,90,-1000
4300,-20,80,-1000
4320,-30,90,-1000
4340,-40,80,-1000
4360,-50,90,-1000
4380,-60,80,-1000
4400,-70,90,-1000
4420,-80,80,-1000
4440,-90,90,-1000
4460,-100,80,-1000
4480,-100,90,-1000
4500,-100,100,-1000
