100,12900,-100,-1000
164.14,12910,-90,-1000
228.28,12920,-100,-1000
292.43,12930,-90,-1000
356.57,12940,-100,-1000
420.71,12950,-90,-1000
484.85,12960,-100,-1000
548.99,12970,-90,-1000
613.14,12980,-100,-1000
677.28,12990,-90,-1000
741.42,13000,-100,-1000
805.56,13010,-90,-1000
869.71,13020,-100,-1000
933.85,13030,-90,-1000
997.99,13040,-100,-1000
1062.1,13050,-90,-1000
1126.3,13060,-100,-1000
1190.4,13070,-90,-1000
1254.6,13080,-100,-1000
1318.7,13090,-90,-1000
1382.8,13100,-100,-1000
1442.8,13100,-90,-1000
1502.8,13100,-80,-1000
1567,13090,-70,-1000
1631.1,13080,-80,-1000
1695.3,13070,-70,-1000
1759.4,13060,-80,-1000
1823.6,13050,-70,-1000
1887.7,13040,-80,-1000
1951.8,13030,-70,-1000
2016,13020,-80,-1000
2080.1,13010,-70,-1000
2144.3,13000,-80,-1000
2208.4,12990,-70,-1000
2272.5,12980,-80,-1000
2336.7,12970,-70,-1000
2400.8,12960,-80,-1000
2465,12950,-70,-1000
2529.1,12940,-80,-1000
2593.3,12930,-70,-1000
2657.4,12920,-80,-1000
2721.5,12910,-70,-1000
2785.7,12900,-80,-1000
2845.7,12900,-70,-1000
2905.7,12900,-60,-1000
2969.8,12910,-50,-1000
3034,12920,-60,-1000
3098.1,12930,-50,-1000
3162.3,12940,-60,-1000
3226.4,12950,-50,-1000
3290.5,12960,-60,-1000
3354.7,12970,-50,-1000
3418.8,12980,-60,-1000
3483,12990,-50,-1000
3547.1,13000,-60,-1000
3611.2,13010,-50,-1000
3675.4,13020,-60,-1000
3739.5,13030,-50,-1000
3803.7,13040,-60,-1000
3867.8,13050,-50,-1000
3932,13060,-60,-1000
3996.1,13070,-50,-1000
4060.2,13080,-60,-1000
4124.4,13090,-50,-1000
4188.5,13100,-60,-1000
4248.5,13100,-50,-1000
4308.5,13100,-40,-1000
4372.7,13090,-30,-1000
4436.8,13080,-40,-1000
4501,13070,-30,-1000
4565.1,13060,-40,-1000
4629.2,13050,-30,-1000
4693.4,13040,-40,-1000
4757.5,13030,-30,-1000
